-,60,_
16018,Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15>,1121; 17% poison uptime,attack:2277,force_strike:207,skill_1:3655,skill_2:662,skill_3:1381,skill_4:1574,s4_poison:176,team_buff:654,team_energy:163,dx:4313,ds:950
9405,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15>,1121; 17% poison uptime,attack:1502,force_strike:140,skill_1:1880,skill_2:326,skill_3:684,skill_4:796,s4_poison:89,team_buff:654,team_energy:163,dx:2697,ds:468
-,60,affliction
17912,Annelie,5*,light,lance,6613,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15 & hp100>,1121; 17% poison uptime,attack:2588,force_strike:241,skill_1:4100,skill_2:743,skill_3:1549,skill_4:1765,s4_poison:198,team_buff:654,team_energy:163,dx:4839,ds:1066
11122,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15 & hp100>,1121; 17% poison uptime,attack:1803,force_strike:168,skill_1:2256,skill_2:391,skill_3:821,skill_4:955,s4_poison:107,team_buff:654,team_energy:163,dx:3236,ds:562
-,120,_
14982,Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15>,1121; 25% poison uptime,attack:2619,force_strike:270,skill_1:3449,skill_2:705,skill_3:1587,skill_4:1491,s4_poison:278,team_buff:333,team_energy:166,dx:3111,ds:968
8584,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15>,1121; 25% poison uptime,attack:1689,force_strike:175,skill_1:1748,skill_2:349,skill_3:807,skill_4:749,s4_poison:140,team_buff:333,team_energy:166,dx:1947,ds:477
-,120,affliction
16767,Annelie,5*,light,lance,6613,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15 & hp100>,1121; 25% poison uptime,attack:2956,force_strike:307,skill_1:3869,skill_2:791,skill_3:1780,skill_4:1673,s4_poison:312,team_buff:333,team_energy:166,dx:3490,ds:1086
10200,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15 & hp100>,1121; 25% poison uptime,attack:2027,force_strike:210,skill_1:2097,skill_2:419,skill_3:968,skill_4:898,s4_poison:168,team_buff:333,team_energy:166,dx:2337,ds:572
-,180,_
15599,Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15>,1121; 25% poison uptime,attack:2623,force_strike:233,skill_1:3708,skill_2:918,skill_3:1583,skill_4:1450,s4_poison:271,team_buff:443,team_energy:221,dx:3357,ds:786
9022,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Breakfast_at_Valerios,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15>,1121; 25% poison uptime,attack:1679,force_strike:150,skill_1:1876,skill_2:453,skill_3:801,skill_4:726,s4_poison:135,team_buff:443,team_energy:221,dx:2134,ds:396
-,180,affliction
17432,Annelie,5*,light,lance,6613,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,<hp70 & hit10 & hit15 & hp100>,1121; 25% poison uptime,attack:2955,force_strike:264,skill_1:4160,skill_2:1030,skill_3:1776,skill_4:1627,s4_poison:304,team_buff:443,team_energy:221,dx:3766,ds:882
10693,_c_Annelie,5*,light,lance,6029,Resounding_Rendition,Spirit_of_the_Season,Daikokuten,HDT2,Halloween_Elisanne,Dagger,Peony,Weapon,Ranzal,!<hp70 & hit10 & hit15 & hp100>,1121; 25% poison uptime,attack:2015,force_strike:180,skill_1:2251,skill_2:544,skill_3:962,skill_4:872,s4_poison:162,team_buff:443,team_energy:221,dx:2561,ds:476
