-,60,_
14451,Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15>,no s2,attack:3521,skill_1:3382,skill_3:1914,team_buff:830,dx:3934,ds:867
8668,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15>,no s2,attack:2340,skill_1:1666,skill_3:943,team_buff:830,dx:2460,ds:427
-,60,affliction
16189,Beautician_Zardin,5*,light,blade,7186,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15 & hp100>,no s2,attack:4030,skill_1:3794,skill_3:2147,team_buff:830,dx:4413,ds:972
10235,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15 & hp100>,no s2,attack:2808,skill_1:1999,skill_3:1131,team_buff:830,dx:2952,ds:512
-,120,_
14374,Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15>,no s2,attack:3873,skill_1:4220,skill_3:1914,team_buff:587,dx:2632,ds:1147
8347,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15>,no s2,attack:2491,skill_1:2079,skill_3:943,team_buff:587,dx:1645,ds:600
-,120,affliction
16093,Beautician_Zardin,5*,light,blade,7186,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15 & hp100>,no s2,attack:4384,skill_1:4734,skill_3:2147,team_buff:587,dx:2952,ds:1287
9899,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15 & hp100>,no s2,attack:2989,skill_1:2494,skill_3:1131,team_buff:587,dx:1975,ds:720
-,180,_
14131,Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15>,no s2,attack:3904,skill_1:4014,skill_3:2323,team_buff:688,dx:2619,ds:580
8246,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15>,no s2,attack:2487,skill_1:1989,skill_3:1157,team_buff:688,dx:1637,ds:286
-,180,affliction
15795,Beautician_Zardin,5*,light,blade,7186,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],<hp70 & hit10 & hit15 & hp100>,no s2,attack:4406,skill_1:4503,skill_3:2606,team_buff:688,dx:2938,ds:651
9758,_c_Beautician_Zardin,5*,light,blade,6552,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Halloween_Elisanne|Dagger|Peony],!<hp70 & hit10 & hit15 & hp100>,no s2,attack:2984,skill_1:2387,skill_3:1388,team_buff:688,dx:1965,ds:343
