-,60,_
11753,Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70>,no fs & no s2,attack:3216,skill_1:2986,skill_3:712,team_buff:660,dx:3559,ds:618
8787,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70>,no fs & no s2,attack:2429,skill_1:2238,skill_3:504,team_buff:660,dx:2517,ds:437
-,60,affliction
13302,Julietta,5*,light,axe,7332,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70 & hp100>,no fs & no s2,attack:3715,skill_1:3437,skill_3:799,team_buff:660,dx:3995,ds:693
10413,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70 & hp100>,no fs & no s2,attack:2915,skill_1:2685,skill_3:605,team_buff:660,dx:3021,ds:524
-,120,_
10936,Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70>,no fs & no s2,attack:3631,skill_1:3105,skill_3:719,team_buff:333,dx:2522,ds:624
7975,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70>,no fs & no s2,attack:2646,skill_1:2260,skill_3:509,team_buff:333,dx:1784,ds:441
-,120,affliction
12330,Julietta,5*,light,axe,7332,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70 & hp100>,no fs & no s2,attack:4128,skill_1:3528,skill_3:807,team_buff:333,dx:2831,ds:700
9503,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70 & hp100>,no fs & no s2,attack:3176,skill_1:2712,skill_3:610,team_buff:333,dx:2141,ds:529
-,180,_
11225,Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70>,no fs & no s2,attack:3655,skill_1:3379,skill_3:953,team_buff:441,dx:2380,ds:413
8163,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Breakfast_at_Valerios][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70>,no fs & no s2,attack:2637,skill_1:2432,skill_3:674,team_buff:441,dx:1684,ds:292
-,180,affliction
12608,Julietta,5*,light,axe,7332,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],<hit15 & hp70 & hp100>,no fs & no s2,attack:4138,skill_1:3821,skill_3:1070,team_buff:441,dx:2672,ds:464
9707,_c_Julietta,5*,light,axe,6685,[Resounding_Rendition+Spirit_of_the_Season][Daikokuten][HDT2][Blade|Dagger|Peony],!<hit15 & hp70 & hp100>,no fs & no s2,attack:3165,skill_1:2919,skill_3:809,team_buff:441,dx:2020,ds:350
