-,60,_
18753,Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hp50 & hit15 & hp=51.0%>,a1 proc at 0s; 17% poison uptime,attack:3870,force_strike:243,skill_1:3170,skill_4:1852,s4_poison:207,dx:6775,ds:2632
12984,_c_Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hp50 & hit15 & hp=51.0%>,a1 proc at 0s; 17% poison uptime,attack:2738,force_strike:173,skill_1:2176,skill_4:1310,s4_poison:147,dx:4658,ds:1779
-,60,affliction
21580,Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hp50 & hit15 & hp=51.0%>,a1 proc at 0s; 17% poison uptime,attack:4931,force_strike:310,skill_1:3119,skill_4:1851,s4_poison:207,dx:8610,ds:2548
15251,_c_Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hp50 & hit15 & hp=51.0%>,a1 proc at 0s; 17% poison uptime,attack:3558,force_strike:225,skill_1:2176,skill_4:1310,s4_poison:146,dx:6054,ds:1778
-,120,_
17216,Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hit15 & hp=1>,a1 proc at 0s; 37% poison uptime,attack:4998,force_strike:318,skill_1:3518,skill_4:2323,s4_poison:434,dx:3747,ds:1875
12676,_c_Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hit15 & hp=1>,a1 proc at 0s; 37% poison uptime,attack:3687,force_strike:235,skill_1:2586,skill_4:1729,s4_poison:323,dx:2759,ds:1354
-,120,affliction
19783,Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hit15 & hp=1>,a1 proc at 0s; 37% poison uptime,attack:6417,force_strike:409,skill_1:3481,skill_4:2299,s4_poison:429,dx:4870,ds:1874
14677,_c_Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hit15 & hp=1>,a1 proc at 0s; 37% poison uptime,attack:4792,force_strike:306,skill_1:2585,skill_4:1728,s4_poison:323,dx:3586,ds:1354
-,180,_
18327,Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hit15 & hp=1>,a1 proc at 0s; 35% poison uptime,attack:5103,force_strike:323,skill_1:3696,skill_4:2667,s4_poison:406,dx:4426,ds:1703
13930,_c_Laxi,4*,flame,blade,8220,Primal_Crisis,The_Wyrmclan_Duo,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hit15 & hp=1>,a1 proc at 0s; 35% poison uptime,attack:3786,force_strike:239,skill_1:2757,skill_4:2032,s4_poison:306,dx:3478,ds:1328
-,180,affliction
21180,Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,<hit10 & hit15 & hp=1>,a1 proc at 0s; 35% poison uptime,attack:6579,force_strike:417,skill_1:3671,skill_4:2651,s4_poison:403,dx:5752,ds:1702
16177,_c_Laxi,4*,flame,blade,8218,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Dagger,Marth,Dagger2,Weapon,Ranzal,!<hit10 & hit15 & hp=1>,a1 proc at 0s; 35% poison uptime,attack:4921,force_strike:311,skill_1:2756,skill_4:2031,s4_poison:306,dx:4520,ds:1328
